,Case_No,Days_of_Mon,Time_occured(24hr),Areas,Zip_Codes,Crimes,Weapons
2056,220110316,14,0600,Central,90015,ROBBERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2057,220110285,14,0200,Central,90015,BURGLARY FROM VEHICLE,
2058,220608804,11,2030,Hollywood,90046,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
2059,221100661,13,1600,Northeast,90039,CHILD ANNOYING (17YRS & UNDER),
2060,221209910,13,1930,77th Street,90044,CRIMINAL HOMICIDE,SEMI-AUTOMATIC PISTOL
2061,221809216,14,1825,Southeast,90003,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2062,221908268,14,0600,Mission,91402,CRIMINAL THREATS - NO WEAPON DISPLAYED,VERBAL THREAT
2063,221209989,14,2335,77th Street,90043,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",UNKNOWN FIREARM
2064,222108001,10,1100,Topanga,91367,BURGLARY,
2065,220707995,14,0830,Wilshire,90019,VIOLATION OF COURT ORDER,
2066,220907974,7,1630,Van Nuys,91405,VEHICLE - STOLEN,
2067,220608768,13,1440,Hollywood,90068,BURGLARY FROM VEHICLE,UNKNOWN WEAPON/OTHER WEAPON
2068,220208795,14,0030,Rampart,90057,BURGLARY FROM VEHICLE,
2069,220208800,14,1745,Rampart,90015,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
2070,220608803,10,0015,Hollywood,90028,"THEFT, PERSON",
2071,221508282,7,2300,N Hollywood,90068,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
2072,220808228,14,1230,West LA,90034,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
2073,221007970,14,2155,West Valley,91335,BRANDISH WEAPON,SCREWDRIVER
2074,221210205,6,0820,77th Street,90043,THEFT OF IDENTITY,
2075,221900600,14,2030,Mission,91345,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
2076,220707990,14,1730,Wilshire,90046,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",
2077,221707736,13,1300,Devonshire,91324,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),
2078,220110281,14,0940,Central,90014,VEHICLE - STOLEN,
2079,222008483,14,1700,Olympic,90005,"THEFT, PERSON",
2080,221908231,13,0500,Mission,91343,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2081,221107858,13,1555,Northeast,90026,BURGLARY FROM VEHICLE,
2082,221209945,14,0239,77th Street,90003,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",SEMI-AUTOMATIC PISTOL
2083,221007942,11,1800,West Valley,91316,THEFT OF IDENTITY,
2084,221100662,13,2340,Northeast,90065,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2085,221809214,14,1825,Southeast,90003,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2086,220110306,12,1930,Central,90012,BURGLARY FROM VEHICLE,
2087,220707988,14,2200,Wilshire,90036,BURGLARY FROM VEHICLE,
2088,220507949,13,0030,Harbor,90710,VEHICLE - STOLEN,
2089,220407559,13,1600,Hollenbeck,90023,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
2090,220110310,14,1400,Central,90013,BATTERY - SIMPLE ASSAULT,UNKNOWN WEAPON/OTHER WEAPON
2091,220110314,14,1700,Central,90015,VEHICLE - STOLEN,
2092,220808209,14,0200,West LA,90025,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2093,221309609,13,1100,Newton,90037,BURGLARY,
2094,221309622,14,1415,Newton,90003,THEFT OF IDENTITY,
2095,221409211,8,2300,Pacific,90291,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
2096,222108031,9,1100,Topanga,91367,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",
2097,220907952,13,2000,Van Nuys,91405,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2098,221607277,13,1730,Foothill,91352,VEHICLE - STOLEN,
2099,222008442,13,1215,Olympic,90005,ROBBERY,HAND GUN
2100,221309560,13,0300,Newton,90003,VEHICLE - STOLEN,
2101,221209926,14,0045,77th Street,90001,VEHICLE - STOLEN,
2102,220110271,14,0450,Central,90013,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",FOLDING KNIFE
2103,220110283,14,1400,Central,90021,VEHICLE - STOLEN,
2104,220707989,14,1755,Wilshire,90036,ROBBERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2105,222108011,14,1930,Topanga,91306,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2106,220707974,12,1830,Wilshire,90019,ROBBERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2107,222108020,13,2335,Topanga,91367,BURGLARY FROM VEHICLE,
2108,221107857,12,0200,Northeast,90027,BURGLARY FROM VEHICLE,
2109,221107869,14,0350,Northeast,90027,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
2110,221508315,14,1400,N Hollywood,91605,BRANDISH WEAPON,OTHER KNIFE
2111,220707991,14,1200,Wilshire,90019,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2112,220608801,14,1016,Hollywood,90038,BRANDISH WEAPON,VERBAL THREAT
2113,220907966,4,2310,Van Nuys,91411,BURGLARY FROM VEHICLE,
2114,220808249,14,1200,West LA,90035,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2115,221409185,11,1500,Pacific,90291,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
2116,220808235,14,1742,West LA,90034,BURGLARY,UNKNOWN WEAPON/OTHER WEAPON
2117,220407551,14,0800,Hollenbeck,90033,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2118,220309102,13,0830,Southwest,90007,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
2119,220707980,14,1400,Wilshire,90010,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2120,221209923,14,1050,77th Street,90037,VEHICLE - STOLEN,
2121,220208762,10,1900,Rampart,90057,BRANDISH WEAPON,HAND GUN
2122,222107990,14,0120,Topanga,91364,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",UNKNOWN WEAPON/OTHER WEAPON
2123,222108057,13,2230,Topanga,91367,BURGLARY,
2124,220507959,14,1125,Harbor,90731,BRANDISH WEAPON,OTHER KNIFE
2125,221107862,13,1920,Northeast,90065,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
2126,221607315,14,1630,Foothill,91331,THEFT PLAIN - PETTY ($950 & UNDER),"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2127,221309563,14,0210,Newton,90003,ROBBERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2128,220110297,10,2130,Central,90014,BURGLARY FROM VEHICLE,
2129,221209997,14,1200,77th Street,90062,THEFT PLAIN - PETTY ($950 & UNDER),
2130,220110319,14,1830,Central,90012,BRANDISH WEAPON,OTHER KNIFE
2131,221908299,13,2120,Mission,91343,BURGLARY FROM VEHICLE,
2132,221809196,11,1630,Southeast,90003,THEFT PLAIN - PETTY ($950 & UNDER),
2133,220110352,13,1700,Central,90014,BURGLARY FROM VEHICLE,
2134,220110279,13,2015,Central,90012,BURGLARY,
2135,221209994,14,1200,77th Street,90043,"BUNCO, GRAND THEFT",
2136,221309720,14,2100,Newton,90011,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2137,220110286,13,1700,Central,90013,ROBBERY,UNKNOWN WEAPON/OTHER WEAPON
2138,220808216,14,1205,West LA,90024,LEWD CONDUCT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2139,221508314,13,0437,N Hollywood,91606,THEFT PLAIN - PETTY ($950 & UNDER),
2140,220808267,14,0130,West LA,90035,VANDALISM - MISDEAMEANOR ($399 OR UNDER),
2141,220808217,14,1355,West LA,90035,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2142,221209922,13,2259,77th Street,90044,VEHICLE - STOLEN,
2143,221007972,14,1145,West Valley,91436,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2144,221908251,14,1000,Mission,91343,ARSON,
2145,220208787,13,1820,Rampart,90057,VEHICLE - STOLEN,
2146,222008444,12,2130,Olympic,90019,VEHICLE - STOLEN,
2147,221209921,13,1910,77th Street,90047,VEHICLE - STOLEN,
2148,221309662,14,1540,Newton,90011,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2149,220110290,14,0230,Central,90014,INTIMATE PARTNER - AGGRAVATED ASSAULT,MACE/PEPPER SPRAY
2150,222108003,14,1130,Topanga,91304,CRIMINAL THREATS - NO WEAPON DISPLAYED,VERBAL THREAT
2151,220407542,14,0720,Hollenbeck,90033,BRANDISH WEAPON,HAND GUN
2152,220907953,13,2110,Van Nuys,91405,BRANDISH WEAPON,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH
2153,220110421,13,1230,Central,90012,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
2154,221209958,14,1330,77th Street,90043,VEHICLE - STOLEN,
2155,220208796,13,2200,Rampart,90057,BURGLARY FROM VEHICLE,
2156,220708073,13,2200,Wilshire,90004,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
2157,220309112,10,0800,Southwest,90062,DOCUMENT FORGERY / STOLEN FELONY,
2158,221607286,14,0300,Foothill,91342,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2159,220907968,6,1202,Van Nuys,91405,THEFT OF IDENTITY,
2160,221707744,13,1630,Devonshire,91344,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",AIR PISTOL/REVOLVER/RIFLE/BB GUN
2161,221607301,14,1815,Foothill,91352,BRANDISH WEAPON,FOLDING KNIFE
2162,221809225,14,1245,Southeast,90044,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",PIPE/METAL PIPE
2163,221809183,14,1010,Southeast,90059,CRIMINAL HOMICIDE,UNKNOWN FIREARM
2164,221107859,13,1510,Northeast,90027,THEFT PLAIN - PETTY ($950 & UNDER),
2165,220407549,14,1640,Hollenbeck,90032,VEHICLE - STOLEN,
2166,221409365,13,1830,Pacific,90045,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",
2167,221309642,14,1530,Newton,90011,ROBBERY,VERBAL THREAT
2168,220907985,14,1740,Van Nuys,91406,VEHICLE - STOLEN,
2169,221409184,8,0700,Pacific,90045,VEHICLE - STOLEN,
2170,221607289,14,1330,Foothill,91605,VEHICLE - STOLEN,
2171,221309721,14,2100,Newton,90011,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2172,221409197,13,1340,Pacific,90292,THEFT OF IDENTITY,
2173,220708113,14,1550,Wilshire,90036,SHOPLIFTING - PETTY THEFT ($950 & UNDER),
2174,220707962,7,1130,Wilshire,90036,VEHICLE - STOLEN,
2175,221809202,14,1435,Southeast,90061,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2176,220907983,14,1645,Van Nuys,91401,BURGLARY,
2177,220907988,11,2200,Van Nuys,91401,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
2178,220508021,14,1500,Harbor,90744,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2179,221508306,11,1630,N Hollywood,91606,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
2180,221809217,14,0545,Southeast,90059,BURGLARY,
2181,221809224,10,1200,Southeast,90002,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",
2182,221409206,14,1400,Pacific,90066,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2183,221700695,14,0800,Devonshire,91311,VANDALISM - MISDEAMEANOR ($399 OR UNDER),
2184,221508318,1,0001,N Hollywood,91607,BURGLARY FROM VEHICLE,
2185,220400689,14,0120,Hollenbeck,90023,BRANDISH WEAPON,VERBAL THREAT
2186,221908271,14,2030,Mission,91343,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2187,220808218,13,0345,West LA,90035,VEHICLE - STOLEN,
2188,222108058,13,0800,Topanga,91364,BURGLARY,
2189,221309719,14,2100,Newton,90011,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2190,221508321,14,2000,N Hollywood,91606,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",OTHER KNIFE
2191,221209948,14,0840,77th Street,90044,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2192,220309043,13,1025,Southwest,90007,VEHICLE - STOLEN,
2193,220309117,14,1000,Southwest,90043,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
2194,220208781,13,1530,Rampart,90057,BURGLARY,
2195,221209944,14,0249,77th Street,90003,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",SEMI-AUTOMATIC PISTOL
2196,220808245,14,0445,West LA,90049,BURGLARY,
2197,222107995,11,1930,Topanga,91367,VEHICLE - STOLEN,
2198,220608765,13,1545,Hollywood,90038,TRESPASSING,
2199,221007967,14,1700,West Valley,91335,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2200,220608769,13,1530,Hollywood,90068,BURGLARY FROM VEHICLE,UNKNOWN WEAPON/OTHER WEAPON
2201,220507950,13,1700,Harbor,90744,VEHICLE - STOLEN,
2202,221409204,14,2145,Pacific,90292,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",HAND GUN
2203,221908288,14,2100,Mission,91342,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2204,220208805,14,1750,Rampart,90017,OTHER ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2205,221607322,14,1645,Foothill,91342,BATTERY - SIMPLE ASSAULT,UNKNOWN WEAPON/OTHER WEAPON
2206,221908256,8,1200,Mission,91342,THEFT PLAIN - PETTY ($950 & UNDER),
2207,220309081,14,1425,Southwest,90008,ROBBERY,HAND GUN
2208,221210204,13,1000,77th Street,90043,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
2209,221707720,2,0800,Devonshire,91325,THEFT OF IDENTITY,
2210,220110317,13,2130,Central,90013,VEHICLE - STOLEN,
2211,220110330,14,2022,Central,90013,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",CLUB/BAT
2212,220208773,14,0755,Rampart,90004,VEHICLE - STOLEN,
2213,220507980,14,1702,Harbor,90731,FAILURE TO YIELD,
2214,221508326,14,1800,N Hollywood,91605,CRIMINAL THREATS - NO WEAPON DISPLAYED,VERBAL THREAT
2215,221607310,14,1910,Foothill,91340,ROBBERY,OTHER KNIFE
2216,221107860,13,1430,Northeast,90027,THEFT PLAIN - PETTY ($950 & UNDER),
2217,220110329,14,2000,Central,90021,BURGLARY FROM VEHICLE,
2218,221508317,14,1230,N Hollywood,91606,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2219,221908273,14,1905,Mission,91343,BURGLARY,
2220,222008443,9,1400,Olympic,90006,VEHICLE - STOLEN,
2221,221508312,13,0700,N Hollywood,91601,BURGLARY,
2222,220707946,1,1400,Wilshire,90036,VEHICLE - STOLEN,
2223,220309084,14,1445,Southwest,90037,ROBBERY,SIMULATED GUN
2224,220907975,1,0700,Van Nuys,91401,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
2225,221309655,14,1800,Newton,90015,BURGLARY FROM VEHICLE,
2226,220309238,14,1345,Southwest,90007,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
2227,220808210,13,2100,West LA,90025,VEHICLE - STOLEN,
2228,220300618,14,1740,Southwest,90062,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",UNKNOWN FIREARM
2229,220707993,14,1520,Wilshire,90019,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2230,220808247,14,1700,West LA,90067,BURGLARY FROM VEHICLE,
2231,221500724,14,0001,N Hollywood,91601,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
2232,220808208,14,0400,West LA,90025,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2233,221707723,14,0300,Devonshire,91406,ATTEMPTED ROBBERY,STICK
2234,221007971,14,1516,West Valley,91335,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2235,221607300,13,1410,Foothill,91042,THEFT PLAIN - PETTY ($950 & UNDER),
2236,220309095,14,1412,Southwest,90007,LEWD CONDUCT,
2237,220507962,14,1350,Harbor,90744,OTHER ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2238,222107996,8,1600,Topanga,91306,VEHICLE - STOLEN,
2239,221908278,14,1700,Mission,91331,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
2240,221309620,7,1931,Newton,90007,THEFT PLAIN - PETTY ($950 & UNDER),
2241,220907981,11,1830,Van Nuys,91411,BURGLARY FROM VEHICLE,UNKNOWN WEAPON/OTHER WEAPON
2242,221707767,10,1246,Devonshire,91311,CRIMINAL THREATS - NO WEAPON DISPLAYED,VERBAL THREAT
2243,221309568,13,0900,Newton,90007,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
2244,220407550,13,2200,Hollenbeck,90032,VEHICLE - STOLEN,
2245,220407534,14,0900,Hollenbeck,90033,VEHICLE - STOLEN,
2246,220708110,14,0106,Wilshire,90038,THEFT PLAIN - PETTY ($950 & UNDER),
2247,221809226,14,2030,Southeast,90003,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",UNKNOWN WEAPON/OTHER WEAPON
2248,220110347,13,0930,Central,90015,BURGLARY FROM VEHICLE,
2249,220707970,13,2330,Wilshire,90048,OTHER ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2250,221107871,9,1730,Northeast,90042,OTHER MISCELLANEOUS CRIME,VERBAL THREAT
2251,220309098,3,1208,Southwest,90016,THEFT OF IDENTITY,
2252,221908246,13,1530,Mission,91342,BRANDISH WEAPON,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH
2253,220300619,14,1740,Southwest,90062,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",UNKNOWN FIREARM
2254,221209974,14,2140,77th Street,90003,ROBBERY,OTHER FIREARM
2255,220407562,14,2030,Hollenbeck,90023,BATTERY WITH SEXUAL CONTACT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2256,221508237,13,2037,N Hollywood,91601,VEHICLE - STOLEN,
2257,221209957,13,1500,77th Street,90003,THEFT PLAIN - PETTY ($950 & UNDER),
2258,221700698,14,1545,Devonshire,91311,BATTERY - SIMPLE ASSAULT,STICK
2259,221209985,14,1115,77th Street,90037,OTHER MISCELLANEOUS CRIME,VERBAL THREAT
2260,221309616,12,1800,Newton,90011,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",HAND GUN
2261,220907963,13,0330,Van Nuys,91401,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
2262,221209980,14,2200,77th Street,90003,ROBBERY,UNKNOWN FIREARM
2263,221508308,14,0900,N Hollywood,91604,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
2264,220707987,13,2100,Wilshire,90048,BURGLARY,
2265,221007943,13,2300,West Valley,91406,VEHICLE - STOLEN,
2266,222108051,14,1410,Topanga,91307,VIOLATION OF COURT ORDER,
2267,222008491,14,0525,Olympic,90005,VEHICLE - STOLEN,
2268,221309653,13,1800,Newton,90011,BURGLARY FROM VEHICLE,
2269,220507987,14,1210,Harbor,90744,VANDALISM - MISDEAMEANOR ($399 OR UNDER),
2270,221409196,14,1430,Pacific,90291,BIKE - STOLEN,
2271,220907982,14,0833,Van Nuys,91401,"BUNCO, PETTY THEFT",
2272,222108004,14,1740,Topanga,91303,CRIMINAL THREATS - NO WEAPON DISPLAYED,VERBAL THREAT
2273,221309567,13,2310,Newton,90011,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2274,221908257,14,1718,Mission,91342,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
2275,220309097,7,1207,Southwest,90037,THEFT OF IDENTITY,
2276,221607303,6,1830,Foothill,91342,ROBBERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2277,220110300,12,0910,Central,90014,BURGLARY FROM VEHICLE,
2278,221409160,10,0130,Pacific,90034,THEFT OF IDENTITY,
2279,220808198,11,0800,West LA,90034,VANDALISM - MISDEAMEANOR ($399 OR UNDER),
2280,222107989,12,1400,Topanga,91364,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
2281,221209853,13,0040,77th Street,90044,CRIMINAL HOMICIDE,SEMI-AUTOMATIC PISTOL
2282,220208725,13,0200,Rampart,90057,THEFT PLAIN - PETTY ($950 & UNDER),
2283,220907918,13,0100,Van Nuys,91423,BURGLARY FROM VEHICLE,
2284,220707930,12,1140,Wilshire,90005,SHOPLIFTING - PETTY THEFT ($950 & UNDER),
2285,220110235,13,0001,Central,90021,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",FOLDING KNIFE
2286,222008476,12,1255,Olympic,90006,BURGLARY FROM VEHICLE,
2287,221409171,1,1600,Pacific,90094,BIKE - STOLEN,
2288,221209951,13,2020,77th Street,90001,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2289,220110256,12,1730,Central,90013,BURGLARY FROM VEHICLE,
2290,220608783,13,2330,Hollywood,90028,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2291,221809167,12,2000,Southeast,90002,BRIBERY,
2292,221007921,13,2305,West Valley,91356,VANDALISM - MISDEAMEANOR ($399 OR UNDER),
2293,220110259,13,1815,Central,90013,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2294,221309544,12,1930,Newton,90021,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
2295,220507940,13,1830,Harbor,90501,SHOPLIFTING - PETTY THEFT ($950 & UNDER),
2296,222107983,5,1200,Topanga,91364,BURGLARY,
2297,221409146,12,2350,Pacific,90292,THEFT PLAIN - PETTY ($950 & UNDER),
2298,221908223,5,0001,Mission,91342,THEFT OF IDENTITY,
2299,222008484,12,2350,Olympic,90006,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2300,220808202,13,1800,West LA,90272,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2301,221309534,13,0600,Newton,90021,VEHICLE - STOLEN,
2302,220407493,12,0001,Hollenbeck,90033,VEHICLE - STOLEN,
2303,221809153,13,1221,Southeast,90003,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
2304,221508201,11,1130,N Hollywood,91601,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",
2305,220507941,13,1800,Harbor,90744,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2306,221809204,13,1240,Southeast,90059,VIOLATION OF RESTRAINING ORDER,
2307,221800590,13,2230,Southeast,90003,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",KITCHEN KNIFE
2308,221209845,12,2345,77th Street,90003,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2309,221607256,12,0700,Foothill,91352,BURGLARY FROM VEHICLE,
2310,221409170,11,1100,Pacific,90293,EXTORTION,
2311,220208765,12,2200,Rampart,90017,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
2312,220507948,13,2330,Harbor,90744,CRIMINAL THREATS - NO WEAPON DISPLAYED,VERBAL THREAT
2313,221508198,12,1730,N Hollywood,91601,BURGLARY FROM VEHICLE,
2314,221107832,13,0030,Northeast,90065,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2315,220907913,12,1730,Van Nuys,91405,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2316,220309028,13,1000,Southwest,90062,SHOPLIFTING - PETTY THEFT ($950 & UNDER),
2317,221707709,13,1240,Devonshire,91324,TRESPASSING,
2318,220707892,12,1745,Wilshire,90036,VIOLATION OF RESTRAINING ORDER,
2319,222008387,1,1010,Olympic,90004,THEFT OF IDENTITY,
2320,220808204,9,1000,West LA,90025,"BUNCO, GRAND THEFT",
2321,222008405,11,0444,Olympic,90004,BURGLARY,
2322,220907949,13,1520,Van Nuys,91401,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2323,220100622,13,2355,Central,90014,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
2324,221107831,12,1910,Northeast,90039,VEHICLE - STOLEN,
2325,220707912,7,1030,Wilshire,90019,VEHICLE - STOLEN,
2326,220407502,12,2000,Hollenbeck,90033,VEHICLE - STOLEN,
2327,221007889,13,0215,West Valley,91356,BURGLARY,
2328,221107834,12,1900,Northeast,90027,KIDNAPPING - GRAND ATTEMPT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
2329,220407524,12,0115,Hollenbeck,90033,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
2330,221908183,10,0300,Mission,91402,VEHICLE - STOLEN,
2331,221809147,11,2000,Southeast,90003,ROBBERY,VERBAL THREAT
2332,222108018,11,0100,Topanga,91367,BURGLARY FROM VEHICLE,
2333,221309511,12,2025,Newton,90003,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
